t V 
6.541176089386342e9 7.085100401341929e-10 
6.572670927031179e9 7.085702108007594e-10 
6.58857989063722e9 1.1845918309702763e-9 
6.603993807379655e9 7.086236097447452e-10 
6.616734848123665e9 7.086396821615934e-10 
6.631990163613363e9 7.086535255193356e-10 
6.657353959386437e9 7.086677674645666e-10 
6.687665341378714e9 7.086747113220835e-10 
6.734899087249626e9 7.086697844032667e-10 
6.800466218306803e9 7.086380288550307e-10 
6.894823154464e9 7.085502729693899e-10 
7.023411929917161e9 7.083645486496166e-10 
7.157457681118083e9 7.081392662098812e-10 
7.2531890741033125e9 7.201489064935776e-10 
7.26865903133723e9 7.183022885105098e-10 
7.300582390279761e9 7.094446725068399e-10 
7.326561578086965e9 7.081449807181831e-10 
7.372166552458551e9 7.077596941060528e-10 
7.408330701795908e9 7.075454911826361e-10 
7.467027658447966e9 7.074037314378103e-10 
7.528618902516638e9 7.076718875964298e-10 
7.573640521923211e9 7.073548964647797e-10 
7.614496687132463e9 7.071133556822241e-10 
7.669630701011212e9 7.070695012147883e-10 
7.731686643467406e9 7.075612929430356e-10 
7.779440990636257e9 7.069829685825327e-10 
7.820355680291022e9 7.067624154886374e-10 
7.881815087333514e9 7.086516767451395e-10 
7.943208384185621e9 7.155167692055082e-10 
7.984908961753336e9 7.172217747360506e-10 
8.017105949204982e9 7.06521163018289e-10 
8.047434580971282e9 7.060690870042781e-10 
8.079224526294226e9 7.058256541748375e-10 
8.084858210621266e9 7.952246982731978e-10 
8.092499836857891e9 1.3184234821466769e-9 
8.101432773851181e9 2.5816617439228344e-9 
8.108129196082008e9 2.13425892336096e-9 
8.115248437825397e9 2.137967615966199e-9 
8.121121653564867e9 2.517380046458653e-9 
8.127637183751259e9 2.169045392709657e-9 
8.135199839448529e9 1.9220226739900497e-9 
8.142342836811012e9 1.9117808201139178e-9 
8.1490666389007015e9 5.49232175457845e-9 
8.15062533988511e9 9.536976389193359e-9 
8.152976263238197e9 6.647657039678266e-9 
8.154528225659477e9 9.132053747852416e-9 
8.156241955448236e9 6.286797154189922e-9 
8.158273185522574e9 4.3608757773952824e-9 
8.159888624351184e9 4.933338408374274e-9 
8.163792219254671e9 2.5099056953500236e-9 
8.166731080051718e9 2.731949615388931e-9 
8.1712956867209015e9 5.492640710563044e-9 
8.172176421172248e9 8.014066484934983e-9 
8.173824336881221e9 2.958116660795102e-8 
8.174719999651e9 1.0549091023594101e-8 
8.175505716657647e9 1.2098418786693916e-8 
8.176527012976676e9 1.3293577112591078e-8 
8.177905901658808e9 3.90566141595661e-9 
8.179388860765709e9 4.244896129913733e-9 
8.181600638173042e9 1.1542040438823584e-8 
8.182098445824174e9 1.909808482037884e-8 
8.182770787598197e9 9.714393531360847e-8 
8.182862976350573e9 1.6200221402862977e-7 
8.18299659316619e9 9.663232589829362e-8 
8.183095152265713e9 5.279228452630971e-8 
8.183205494640288e9 8.171162043661909e-8 
8.183417527383104e9 9.659703857788667e-8 
8.183544862838787e9 3.263117587415603e-8 
8.183702591122817e9 2.1242220793609517e-8 
8.183972688740056e9 3.2544087133718386e-8 
8.184326343036722e9 1.472477013308433e-7 
8.184372501815213e9 2.744073193999725e-7 
8.184392470796746e9 4.309384948681745e-7 
8.184423305131126e9 2.518562148417873e-6 
8.18442673998621e9 4.303031762206743e-6 
8.184432324901151e9 2.6709497201669155e-6 
8.184435999240685e9 1.2906650712090977e-6 
8.184439874717638e9 2.036782521663454e-6 
8.184446320550942e9 7.217078795970828e-6 
8.184450492277442e9 3.3987546196904163e-6 
8.184453829300442e9 8.342144587840463e-7 
8.1844569787439e9 6.732726826222276e-7 
8.184464541000943e9 7.105656351223825e-7 
8.184472873398377e9 1.2119870257416337e-6 
8.184482913487945e9 3.4264210117116318e-6 
8.184489812911561e9 2.6586836623182416e-6 
8.184491170266795e9 3.734028162302427e-6 
8.1844921661366e9 4.975274965571976e-6 
8.184494058932373e9 9.608215105073736e-6 
8.184495615913791e9 9.860737272379548e-6 
8.184497149529676e9 3.5820618949120893e-6 
8.184498529911421e9 2.972167539838021e-6 
8.184501533113946e9 3.790990698952708e-6 
8.184504458290941e9 1.6165481999190122e-5 
8.184505002522138e9 3.283088638943732e-5 
8.184505171131193e9 4.4941000851754996e-5 
8.184505510557073e9 6.265999027727588e-5 
8.184505718061057e9 2.626761939822281e-5 
8.184505967414376e9 1.63176778093379e-5 
8.184506310590429e9 2.1652859695668676e-5 
8.184506875599897e9 2.0668212103119857e-5 
8.18450740733337e9 9.421998243389891e-6 
8.184508110806591e9 9.91242118770291e-6 
8.184508999699438e9 1.1567226096424084e-5 
8.184510220464875e9 1.1850586380787673e-5 
8.184511282507472e9 6.2886117486860595e-6 
8.1845124848742695e9 1.4097657588593098e-5 
8.184512808504628e9 2.0628785197434e-5 
8.184513287037515e9 6.0975531579438655e-5 
8.184513363282493e9 8.708790705497226e-5 
8.184513545240647e9 0.0009787616365211132 
8.184513562543128e9 0.0005565915378997787 
8.184513583304723e9 0.0001400662547524917 
8.184513600970234e9 0.00017537512785331848 
8.184513644218865e9 0.00035002518662294687 
8.184513685100142e9 0.0010006297243628282 
8.184513712898061e9 0.00047043560176642364 
8.184513734497065e9 0.0001103661353989413 
8.18451375683885e9 7.556754978623285e-5 
8.184513806919538e9 0.00010613428425335787 
8.184513865582251e9 0.00016807454229591514 
8.184513951296144e9 0.00031031518672558066 
8.184514007683073e9 0.00012329155331683255 
8.184514071897372e9 5.311388733862907e-5 
8.184514144619843e9 7.418306382938407e-5 
8.184514286578283e9 0.0001419490678320529 
8.184514411059202e9 0.0001734367730862038 
8.184514435450534e9 0.0003022697830247327 
8.18451445473548e9 0.0005821020437386826 
8.184514474203692e9 0.001888117780122243 
8.184514476857586e9 0.0022786621732058237 
8.184514482706611e9 0.0051912000144078456 
8.1845144859880085e9 0.005307379084055779 
8.184514488502521e9 0.005175436378524458 
8.184514490922277e9 0.009600890600009935 
8.184514491496957e9 0.012340278074718016 
8.184514492518381e9 0.05453753393377482 
8.184514492812108e9 0.15124389458355986 
8.184514492885245e9 0.21763329005433782 
8.184514493038597e9 0.5593775929389767 
8.184514493102147e9 0.587168918153429 
8.1845144931157465e9 0.5301209769034485 
8.184514493142689e9 0.4173641453920426 
8.184514493165501e9 0.33954332068943704 
8.1845144932084e9 0.26283921975272984 
8.184514493250744e9 0.2785425326356337 
8.184514493314364e9 0.2608065997462637 
8.184514493371432e9 0.1881628268399953 
8.184514493431961e9 0.1574947083024616 
8.184514493527489e9 0.1669748202102798 
8.184514493630585e9 0.09889383720124702 
8.184514493726028e9 0.056305961696041455 
8.184514493893833e9 0.08275132558322335 
8.184514494071998e9 0.17861348931202087 
8.184514494117413e9 0.2205100318286376 
8.1845144942231e9 0.27095260475813226 
8.184514494289075e9 0.1786965948592927 
8.184514494379352e9 0.22826613561218545 
